Dimensão,Métrica,Faixa,Qtd Clientes,Taxa Detração,NPS Médio,Qtd Pedidos
Comprador,Faixa Etária (anos),18-25,344.0,75.87%,4.46,
Comprador,Faixa Etária (anos),26-35,461.0,70.28%,4.65,
Comprador,Faixa Etária (anos),36-45,509.0,76.82%,4.13,
Comprador,Faixa Etária (anos),46-55,480.0,73.75%,4.3,
Comprador,Faixa Etária (anos),56-65,468.0,75.43%,4.28,
Comprador,Faixa Etária (anos),65+,238.0,70.59%,4.63,
Comprador,Tempo de Relacionamento,0-1 ano,224.0,75.89%,4.17,
Comprador,Tempo de Relacionamento,1-2 anos,242.0,71.9%,4.65,
Comprador,Tempo de Relacionamento,2-3 anos,252.0,74.21%,4.36,
Comprador,Tempo de Relacionamento,3-4 anos,223.0,72.2%,4.37,
Comprador,Tempo de Relacionamento,4-5 anos,244.0,75.82%,4.31,
Comprador,Tempo de Relacionamento,5+ anos,1315.0,74.07%,4.38,
Comprador,Região Geográfica,Centro-Oeste,468.0,74.36%,4.21,
Comprador,Região Geográfica,Nordeste,485.0,74.02%,4.42,
Comprador,Região Geográfica,Norte,506.0,74.51%,4.38,
Comprador,Região Geográfica,Sudeste,520.0,74.62%,4.37,
Comprador,Região Geográfica,Sul,521.0,72.74%,4.49,
Pedido,Faixa de Valor,R$ 0-100,162.0,77.78%,4.05,162.0
Pedido,Faixa de Valor,R$ 100-250,588.0,75.51%,4.27,588.0
Pedido,Faixa de Valor,R$ 250-500,937.0,74.07%,4.42,937.0
Pedido,Faixa de Valor,R$ 500-750,487.0,72.07%,4.41,487.0
Pedido,Faixa de Valor,R$ 750-1K,190.0,70.53%,4.62,190.0
Pedido,Faixa de Valor,R$ 1K+,136.0,75.0%,4.53,136.0
Pedido,Quantidade de Itens,2 items,409.0,72.62%,4.33,409.0
Pedido,Quantidade de Itens,3 items,418.0,72.49%,4.47,418.0
Pedido,Quantidade de Itens,4-5 items,870.0,75.06%,4.28,870.0
Pedido,Quantidade de Itens,6-10 items,803.0,74.47%,4.47,803.0
Pedido,Faixa de Frete,R$ 0-20,157.0,75.8%,4.4,157.0
Pedido,Faixa de Frete,R$ 20-35,825.0,71.88%,4.53,825.0
Pedido,Faixa de Frete,R$ 35-50,1114.0,74.33%,4.32,1114.0
Pedido,Faixa de Frete,R$ 50-65,372.0,77.42%,4.2,372.0
Pedido,Faixa de Frete,R$ 65+,32.0,71.88%,4.52,32.0
Logística,Dias de Atraso,1 dia,277.0,36.46%,6.86,277.0
Logística,Dias de Atraso,2 dias,615.0,59.67%,5.55,615.0
Logística,Dias de Atraso,3 dias,646.0,75.39%,4.58,646.0
Logística,Dias de Atraso,4 dias,525.0,89.71%,3.44,525.0
Logística,Dias de Atraso,5+ dias,437.0,97.25%,2.0,437.0
Logística,Tempo de Entrega,2-4 dias,386.0,75.39%,4.29,386.0
Logística,Tempo de Entrega,4-6 dias,387.0,75.45%,4.34,387.0
Logística,Tempo de Entrega,6-8 dias,365.0,72.05%,4.54,365.0
Logística,Tempo de Entrega,8+ dias,757.0,73.98%,4.39,757.0
Logística,Tentativas de Entrega,2 tentativas,824.0,74.39%,4.35,824.0
Logística,Tentativas de Entrega,3 tentativas,838.0,76.13%,4.26,838.0
Logística,Tentativas de Entrega,4 tentativas,838.0,71.6%,4.52,838.0
Atendimento,Qtd de Reclamações,1-2 reclamações,145.0,7.59%,7.89,145.0
Atendimento,Qtd de Reclamações,3-4 reclamações,784.0,59.06%,5.31,784.0
Atendimento,Qtd de Reclamações,5-6 reclamações,1044.0,84.2%,3.98,1044.0
Atendimento,Qtd de Reclamações,7-8 reclamações,435.0,93.56%,2.97,435.0
Atendimento,Qtd de Reclamações,9+ reclamações,92.0,98.91%,2.14,92.0
Atendimento,Tempo de Resolução,0-3 dias,629.0,64.23%,5.04,629.0
Atendimento,Tempo de Resolução,3-6 dias,619.0,73.18%,4.51,619.0
Atendimento,Tempo de Resolução,6-9 dias,637.0,77.39%,4.18,637.0
Atendimento,Tempo de Resolução,9+ dias,615.0,81.46%,3.78,615.0
Atendimento,Contatos com CS,1 contato,554.0,59.21%,5.54,554.0
Atendimento,Contatos com CS,2 contatos,816.0,70.34%,4.66,816.0
Atendimento,Contatos com CS,3 contatos,640.0,79.06%,4.12,640.0
Atendimento,Contatos com CS,4-5 contatos,490.0,90.41%,2.94,490.0
Score,Categoria NPS,Detrator (0-6),1851.0,,3.26,1851.0
Score,Categoria NPS,Neutro (7-8),448.0,,6.89,448.0
Score,Categoria NPS,Promotor (9-10),201.0,,9.1,201.0
Score,CSAT Interno,Baixo (0-4),1643.0,85.15%,3.59,1643.0
Score,CSAT Interno,Médio (5-6),535.0,63.55%,5.32,535.0
Score,CSAT Interno,Alto (7-8),273.0,38.83%,6.61,273.0
Score,CSAT Interno,Muito Alto (9-10),49.0,12.24%,8.18,49.0
Score,Recompra 30 dias,Sem recompra (30d),2282.0,81.11%,3.94,2282.0
Score,Recompra 30 dias,Com recompra (30d),218.0,0.0%,9.01,218.0
