model,metric,mean_score,std_score
DummyClassifier,ROC_AUC,0.5,0.0
DummyClassifier,AVERAGE_PRECISION,0.7405000000000002,0.001000000000000023
DummyClassifier,ACCURACY,0.7405000000000002,0.001000000000000023
DummyClassifier,F1,0.8509045333861046,0.0006596414848529797
LogisticRegression,ROC_AUC,0.8758134243874535,0.01372333739521423
LogisticRegression,AVERAGE_PRECISION,0.9508042939414485,0.006234196486199251
LogisticRegression,ACCURACY,0.8310000000000001,0.01365650028374769
LogisticRegression,F1,0.8904145656943312,0.00871092390720093
RandomForestClassifier,ROC_AUC,0.8712185507695217,0.013957455721133858
RandomForestClassifier,AVERAGE_PRECISION,0.9487662051430323,0.00741199788643893
RandomForestClassifier,ACCURACY,0.8290000000000001,0.01007472083980497
RandomForestClassifier,F1,0.8924610337263065,0.006175117138216401
